CMC_id,CMC_rank,name,ticker,web_primary,web_secondary,source_code,check_source,notes,repo,forge,stars,forks,auth_tot,authors,commits,comments,PR_open,days_inactive,avg_resp_time,med_resp_time,avg_longevity_days,language:,created_since:,updated_since:,contributor_count:,org_count:,commit_frequency:,recent_releases_count:,updated_issues_count:,closed_issues_count:,comment_frequency:,dependents_count:,criticality_score:,alexa_rank,geo_rmse,geo_mae
1,1,Bitcoin,BTC,https://bitcoin.org/,,https://github.com/bitcoin/bitcoin,y,,bitcoin/bitcoin,github,72112,59013,6242,150.33,360,2440.67,170.67,0.006,17.55,2.9,427.11,C++,153,0,1050,3,56.2,2,4074,3595,1.1,492320,0.84683,8149,0.268019409,0.164839059
1027,2,Ethereum,ETH,https://www.ethereum.org/,https://en.wikipedia.org/wiki/Ethereum,https://github.com/ethereum/go-ethereum,y,,ethereum/go-ethereum,github,40452,28052,7465,164,45,448,76.67,0.019,13.18,1.45,282.49,Go,100,0,698,7,13.6,15,574,448,1.6,81168,0.82061,2358,0.327910515,0.198670396
825,3,Tether,USDT,https://tether.to,,private,y,,,,,,,,,,,,,,,,,,,,,,,,,,,34722,,
1839,4,BNB,BNB,https://www.binance.com/,,https://github.com/bnb-chain/bsc,y,fork of go-ethereum; updated repo to bnb-chain mar.2022,bnb-chain/bsc,github,79,71,73,38,5,121,2,0.076,5.44,2.88,13.95,Go,100,2,614,7,3.9,14,198,150,2.4,0,0.56422,110,0.361854174,0.219124982
3408,5,USD Coin,USDC,https://www.centre.io/usdc,,https://github.com/centrehq/centre-tokens,y,SC,centrehq/centre-tokens,github,296,298,40,5,0,5.33,1.5,4.305,10.2,4.35,217.58,JavaScript,50,10,16,5,0.2,1,9,3,1.2,98,0.36061,147967,0.334226723,0.205800715
52,6,XRP,XRP,https://xrpl.org/,,https://github.com/ripple/rippled,y,,ripple/rippled,github,4799,3023,594,35.67,18.67,138,19.33,0.287,28.07,13.39,358.35,C++,127,2,115,7,3.1,6,106,54,1.9,5453,0.6422,62805,0.348687968,0.213753793
4172,7,Terra,LUNA,https://terra.money/,,https://github.com/terra-project/core,y,,terra-project/core,github,282,134,63,0,0,0,0,301.316,6.26,1.7,185.61,JavaScript,51,1,36,10,0.6,9,8,3,1,3,0.42544,6226,0.420447867,0.272313044
2010,8,Cardano,ADA,https://www.cardano.org,,https://github.com/input-output-hk/cardano-node,y,IOHK,input-output-hk/cardano-node,github,2724,748,656,70.33,826.67,363.67,46,0.249,18.18,3.13,193.95,Haskell,35,0,113,7,19.8,10,399,211,1.7,475,0.64632,13702,0.259726545,0.176627465
5426,9,Solana,SOL,https://solana.com,,https://github.com/solana-labs/solana,y,,solana-labs/solana,github,7744,2223,1090,174,747,1915.33,524.33,0.055,5.46,0.33,156.63,Rust,50,0,324,3,89.4,83,2172,1814,2,8798,0.77413,3595,0.240443057,0.140435854
5805,10,Avalanche,AVAX,https://avax.network/,https://www.avalabs.org/,https://github.com/ava-labs/avalanchego,y,,ava-labs/avalanchego,github,1126,334,221,30.67,50.33,30.33,4.67,0.037,12,1.58,112.99,Go,25,0,67,1,57.2,40,71,32,1.1,683,0.56074,7000,0.282130244,0.168065697
6636,11,Polkadot,DOT,https://polkadot.network/,,https://github.com/paritytech/polkadot,y,See Substrate for pre 2018 repo history,paritytech/polkadot,github,6208,1884,725,83.33,960.67,915,135.67,0.01,10.11,0.96,296.26,Rust,50,0,171,4,25.9,24,738,553,2.2,835,0.69038,22298,0.252104539,0.163048417
4687,12,Binance USD,BUSD,https://www.binance.com/en/busd,https://www.paxos.com/busd/,https://github.com/paxosglobal/busd-contract,y,SC,paxosglobal/busd-contract,github,82,78,11,1,0,0.33,1.5,3.681,29.34,29.34,318.6,Solidity,31,14,4,1,0,0,4,1,0.2,0,0.12069,110,0.334226723,0.205800715
74,13,Dogecoin,DOGE,http://dogecoin.com/,,https://github.com/dogecoin/dogecoin,y,,dogecoin/dogecoin,github,15491,4684,1663,28.33,14,91.67,9.33,0.031,14.59,0.76,183.1,C++,153,5,608,3,4.7,2,84,39,2.2,199,0.5686,37234,0.209216048,0.134105754
7129,14,TerraUSD,UST,https://terra.money,,exclude,y,,terra-project/core,github,282,134,63,0,0,0,0,301.316,6.26,1.7,185.61,JavaScript,51,1,36,10,0.6,9,8,3,1,3,0.42544,6226,0.420447867,0.272313044
5994,15,Shiba Inu,SHIB,https://shibatoken.com/,,private,y,,,,,,,,,,,,,,,,,,,,,,,,,,,21418,,
